Document No_,Line No_,Sell-to Customer No_,Type,No_,Location Code,Posting Date,Shipment Date,Description_x,Unit of Measure,Quantity,Unit Price,Unit Cost (LCY),Line Discount _,Line Discount Amount,Amount,Amount Including VAT,Item Category Code_x,Tipo,Buy-from Vendor No_,Expected Receipt Date,Unit Cost,Description_y,Base Unit of Measure,Item Category Code_y,Cantidad en Inventario
103058,10000,20000.0,2,1900-S,,2022-05-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103058,20000,20000.0,2,1964-S,,2022-05-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,0.0,0.0,968.5,1171.89,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103058,30000,20000.0,2,1980-S,,2022-05-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,4.0,191.0,148.9,0.0,0.0,764.0,924.44,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103059,10000,10000.0,2,1896-S,,2022-05-23,2023-04-16,Escritorio ATENAS,Unidad,8.0,1005.8,784.6,0.0,0.0,8046.4,9736.14,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103059,20000,10000.0,2,1972-S,,2022-05-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,3.0,191.0,148.9,0.0,0.0,573.0,693.33,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103059,30000,10000.0,2,1996-S,,2022-05-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,5.0,1404.3,1095.3,0.0,0.0,7021.5,8496.02,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103060,10000,50000.0,2,1906-S,,2022-05-25,2023-04-16,Pedestal móvil ATENAS,Unidad,6.0,435.8,339.9,0.0,0.0,2614.8,3163.91,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103061,10000,30000.0,2,1928-S,,2022-05-26,2023-04-16,Lámpara giratoria roja,Piece,8.0,55.2,43.1,0.0,0.0,441.6,441.6,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103062,10000,40000.0,2,1908-S,,2022-05-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103062,20000,40000.0,2,1920-S,,2022-05-26,2023-04-16,Mesa de conferencia AMBERES,stück,4.0,651.1,508.0,0.0,0.0,2604.4,2604.4,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103062,30000,40000.0,2,1968-S,,2022-05-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,6.0,191.0,148.9,0.0,0.0,1146.0,1146.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103062,40000,40000.0,2,1980-S,,2022-05-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103063,10000,20000.0,2,1900-S,,2022-05-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103064,10000,30000.0,2,1896-S,,2022-05-29,2023-04-16,ATHENS Desk,Piece,6.0,1005.8,784.6,0.0,0.0,6034.8,6034.8,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103064,20000,30000.0,2,1936-S,,2022-05-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,9.0,193.7,151.1,0.0,0.0,1743.3,1743.3,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103064,30000,30000.0,2,1972-S,,2022-05-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,6.0,191.0,148.9,0.0,0.0,1146.0,1146.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103064,40000,30000.0,2,1996-S,,2022-05-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,0.0,0.0,5617.2,5617.2,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103065,10000,50000.0,2,1920-S,,2022-05-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,3.0,651.1,508.0,0.0,0.0,1953.3,2363.49,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103065,20000,50000.0,2,1988-S,,2022-05-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103066,10000,30000.0,2,1960-S,,2022-06-01,2023-04-16,"ROME Guest Chair, green",Piece,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103066,20000,30000.0,2,2000-S,,2022-06-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,7.0,191.0,148.9,0.0,0.0,1337.0,1337.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103067,10000,20000.0,2,1928-S,,2022-06-17,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,0.0,0.0,165.6,200.38,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103068,10000,30000.0,2,1988-S,,2022-06-19,2023-04-16,"SEOUL Guest Chair, red",Piece,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103069,10000,50000.0,2,1968-S,,2022-06-20,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103070,10000,10000.0,2,1896-S,,2022-06-21,2023-04-16,Escritorio ATENAS,Unidad,8.0,1005.8,784.6,0.0,0.0,8046.4,9736.15,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103070,20000,10000.0,2,1960-S,,2022-06-21,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.5,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103070,30000,10000.0,2,1972-S,,2022-06-21,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,3.0,191.0,148.9,0.0,0.0,573.0,693.33,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103070,40000,10000.0,2,1996-S,,2022-06-21,2023-04-16,"Pizarra ATLANTA, base",Unidad,5.0,1404.3,1095.3,0.0,0.0,7021.5,8496.02,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103071,10000,20000.0,2,1900-S,,2022-06-22,2023-04-16,"Silla inv. PARÍS, negra",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103071,20000,20000.0,2,1964-S,,2022-06-22,2023-04-16,"Silla inv. TOKIO, azul",Unidad,5.0,193.7,151.1,0.0,0.0,968.5,1171.89,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103071,30000,20000.0,2,1980-S,,2022-06-22,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,4.0,191.0,148.9,0.0,0.0,764.0,924.44,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103072,10000,50000.0,2,1906-S,,2022-06-24,2023-04-16,Pedestal móvil ATENAS,Unidad,5.0,435.8,339.9,0.0,0.0,2179.0,2636.59,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103073,10000,40000.0,2,1908-S,,2022-06-24,2023-04-16,"Silla giratoria LONDRES, azul",stück,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103073,20000,40000.0,2,1920-S,,2022-06-24,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,0.0,0.0,1953.3,1953.3,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103073,30000,40000.0,2,1960-S,,2022-06-24,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103073,40000,40000.0,2,1968-S,,2022-06-24,2023-04-16,"Silla giratoria MÉXICO, negra",stück,6.0,191.0,148.9,0.0,0.0,1146.0,1146.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103073,50000,40000.0,2,1980-S,,2022-06-24,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103074,10000,20000.0,2,1900-S,,2022-06-25,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103075,10000,30000.0,2,1896-S,,2022-06-25,2023-04-16,ATHENS Desk,Piece,7.0,1005.8,784.6,0.0,0.0,7040.6,7040.6,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103075,20000,30000.0,2,1928-S,,2022-06-25,2023-04-16,Lámpara giratoria roja,Piece,10.0,55.2,43.1,0.0,0.0,552.0,552.0,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103075,30000,30000.0,2,1996-S,,2022-06-25,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,0.0,0.0,5617.2,5617.2,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103076,10000,50000.0,2,1920-S,,2022-06-28,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,0.0,0.0,1302.2,1575.66,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103076,20000,50000.0,2,1988-S,,2022-06-28,2023-04-16,"Silla inv. SEUL, roja",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103077,10000,30000.0,2,1936-S,,2022-06-28,2023-04-16,"BERLIN Guest Chair, yellow",Piece,10.0,193.7,151.1,0.0,0.0,1937.0,1937.0,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103077,20000,30000.0,2,1972-S,,2022-06-28,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,7.0,191.0,148.9,0.0,0.0,1337.0,1337.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103077,30000,30000.0,2,2000-S,,2022-06-28,2023-04-16,"SYDNEY Swivel Chair, green",Piece,7.0,191.0,148.9,0.0,0.0,1337.0,1337.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103078,10000,30000.0,2,1960-S,,2022-07-02,2023-04-16,"ROME Guest Chair, green",Piece,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103079,10000,20000.0,2,1928-S,,2022-07-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,0.0,0.0,165.6,200.38,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103080,10000,10000.0,2,1960-S,,2022-07-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103081,10000,30000.0,2,1988-S,,2022-07-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103082,10000,50000.0,2,1968-S,,2022-07-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103083,10000,40000.0,2,1960-S,,2022-07-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103084,10000,20000.0,2,1900-S,,2022-07-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103084,20000,20000.0,2,1964-S,,2022-07-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103084,30000,20000.0,2,1980-S,,2022-07-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,3.0,191.0,148.9,0.0,0.0,573.0,693.33,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103085,10000,10000.0,2,1896-S,,2022-07-23,2023-04-16,Escritorio ATENAS,Unidad,6.0,1005.8,784.6,0.0,0.0,6034.8,7302.11,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103085,20000,10000.0,2,1972-S,,2022-07-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103085,30000,10000.0,2,1996-S,,2022-07-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,0.0,0.0,5617.2,6796.81,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103086,10000,50000.0,2,1906-S,,2022-07-25,2023-04-16,Pedestal móvil ATENAS,Unidad,7.0,435.8,339.9,0.0,0.0,3050.6,3691.23,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103087,10000,30000.0,2,1928-S,,2022-07-26,2023-04-16,Lámpara giratoria roja,Piece,8.0,55.2,43.1,0.0,0.0,441.6,441.6,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103088,10000,40000.0,2,1908-S,,2022-07-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103088,20000,40000.0,2,1920-S,,2022-07-26,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,0.0,0.0,1953.3,1953.3,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103088,30000,40000.0,2,1968-S,,2022-07-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103088,40000,40000.0,2,1980-S,,2022-07-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103089,10000,20000.0,2,1900-S,,2022-07-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103090,10000,30000.0,2,1896-S,,2022-07-29,2023-04-16,ATHENS Desk,Piece,4.0,1005.8,784.6,0.0,0.0,4023.2,4023.2,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103090,20000,30000.0,2,1936-S,,2022-07-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,8.0,193.7,151.1,0.0,0.0,1549.6,1549.6,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103090,30000,30000.0,2,1972-S,,2022-07-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103090,40000,30000.0,2,1996-S,,2022-07-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,3.0,1404.3,1095.3,0.0,0.0,4212.9,4212.9,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103091,10000,50000.0,2,1920-S,,2022-07-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,2.0,651.1,508.0,0.0,0.0,1302.2,1575.67,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103091,20000,50000.0,2,1988-S,,2022-07-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,2.0,193.7,151.1,0.0,0.0,387.4,468.75,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103092,10000,30000.0,2,1960-S,,2022-08-01,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103092,20000,30000.0,2,2000-S,,2022-08-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,5.0,191.0,148.9,0.0,0.0,955.0,955.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103093,10000,20000.0,2,1928-S,,2022-08-18,2023-04-16,Lámpara ÁMSTERDAM,Unidad,3.0,55.2,43.1,0.0,0.0,165.6,200.38,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103094,10000,10000.0,2,1960-S,,2022-08-19,2023-04-16,"Silla inv. ROMA, verde",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103095,10000,30000.0,2,1988-S,,2022-08-20,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103096,10000,50000.0,2,1968-S,,2022-08-21,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103097,10000,40000.0,2,1960-S,,2022-08-22,2023-04-16,"Silla inv. ROMA, verde",stück,2.0,193.7,151.1,0.0,0.0,387.4,387.4,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103098,10000,20000.0,2,1900-S,,2022-08-23,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103098,20000,20000.0,2,1964-S,,2022-08-23,2023-04-16,"Silla inv. TOKIO, azul",Unidad,6.0,193.7,151.1,0.0,0.0,1162.2,1406.26,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103098,30000,20000.0,2,1980-S,,2022-08-23,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,3.0,191.0,148.9,0.0,0.0,573.0,693.33,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103099,10000,10000.0,2,1896-S,,2022-08-23,2023-04-16,Escritorio ATENAS,Unidad,6.0,1005.8,784.6,0.0,0.0,6034.8,7302.11,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103099,20000,10000.0,2,1972-S,,2022-08-23,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103099,30000,10000.0,2,1996-S,,2022-08-23,2023-04-16,"Pizarra ATLANTA, base",Unidad,5.0,1404.3,1095.3,0.0,0.0,7021.5,8496.01,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103100,10000,50000.0,2,1906-S,,2022-08-25,2023-04-16,Pedestal móvil ATENAS,Unidad,7.0,435.8,339.9,0.0,0.0,3050.6,3691.23,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103101,10000,30000.0,2,1928-S,,2022-08-26,2023-04-16,Lámpara giratoria roja,Piece,7.0,55.2,43.1,0.0,0.0,386.4,386.4,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103102,10000,40000.0,2,1908-S,,2022-08-26,2023-04-16,"Silla giratoria LONDRES, azul",stück,6.0,191.0,148.9,0.0,0.0,1146.0,1146.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
103102,20000,40000.0,2,1920-S,,2022-08-26,2023-04-16,Mesa de conferencia AMBERES,stück,3.0,651.1,508.0,0.0,0.0,1953.3,1953.3,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103102,30000,40000.0,2,1968-S,,2022-08-26,2023-04-16,"Silla giratoria MÉXICO, negra",stück,6.0,191.0,148.9,0.0,0.0,1146.0,1146.0,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103102,40000,40000.0,2,1980-S,,2022-08-26,2023-04-16,"Silla giratoria MOSCÚ, roja",stück,1.0,191.0,148.9,0.0,0.0,191.0,191.0,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103103,10000,20000.0,2,1900-S,,2022-08-28,2023-04-16,"Silla inv. PARÍS, negra",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103104,10000,30000.0,2,1896-S,,2022-08-29,2023-04-16,ATHENS Desk,Piece,5.0,1005.8,784.6,0.0,0.0,5029.0,5029.0,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103104,20000,30000.0,2,1936-S,,2022-08-29,2023-04-16,"BERLIN Guest Chair, yellow",Piece,9.0,193.7,151.1,0.0,0.0,1743.3,1743.3,SILLA,Venta,,,,"Silla invit. BERLÍN, amar.",UDS,SILLA,100.0
103104,30000,30000.0,2,1972-S,,2022-08-29,2023-04-16,"MUNICH Swivel Chair, yellow",Piece,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103104,40000,30000.0,2,1996-S,,2022-08-29,2023-04-16,"ATLANTA Whiteboard, base",Piece,4.0,1404.3,1095.3,0.0,0.0,5617.2,5617.2,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103105,10000,50000.0,2,1920-S,,2022-08-31,2023-04-16,Mesa de conferencia AMBERES,Unidad,3.0,651.1,508.0,0.0,0.0,1953.3,2363.49,ESCRITORIO,Venta,,,,Mesa de conferencia AMBERES,UDS,ESCRITORIO,10.0
103105,20000,50000.0,2,1988-S,,2022-08-31,2023-04-16,"Silla inv. SEUL, roja",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103106,10000,30000.0,2,1960-S,,2022-09-01,2023-04-16,"ROME Guest Chair, green",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103106,20000,30000.0,2,2000-S,,2022-09-01,2023-04-16,"SYDNEY Swivel Chair, green",Piece,7.0,191.0,148.9,0.0,0.0,1337.0,1337.0,SILLA,Venta,,,,"Silla giratoria SIDNEY, verde",UDS,SILLA,38.0
103107,10000,20000.0,2,1928-S,,2022-09-17,2023-04-16,Lámpara ÁMSTERDAM,Unidad,2.0,55.2,43.1,0.0,0.0,110.4,133.58,VARIOS,Venta,,,,Lámpara ÁMSTERDAM,UDS,VARIOS,8.0
103108,10000,30000.0,2,1988-S,,2022-09-19,2023-04-16,"SEOUL Guest Chair, red",Piece,1.0,193.7,151.1,0.0,0.0,193.7,193.7,SILLA,Venta,,,,"Silla inv. SEUL, roja",UDS,SILLA,0.0
103109,10000,50000.0,2,1968-S,,2022-09-20,2023-04-16,"Silla giratoria MÉXICO, negra",Unidad,1.0,191.0,148.9,0.0,0.0,191.0,231.11,SILLA,Venta,,,,"Silla giratoria MÉXICO, negra",UDS,SILLA,10.0
103110,10000,10000.0,2,1896-S,,2022-09-21,2023-04-16,Escritorio ATENAS,Unidad,5.0,1005.8,784.6,0.0,0.0,5029.0,6085.09,MESA,Venta,,,,Escritorio ATENAS,UDS,MESA,4.0
103110,20000,10000.0,2,1960-S,,2022-09-21,2023-04-16,"Silla inv. ROMA, verde",Unidad,3.0,193.7,151.1,0.0,0.0,581.1,703.13,SILLA,Venta,,,,"Silla inv. ROMA, verde",UDS,SILLA,2.0
103110,30000,10000.0,2,1972-S,,2022-09-21,2023-04-16,"Silla giratoria MUNICH, amar.",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MUNICH, amar.",UDS,SILLA,0.0
103110,40000,10000.0,2,1996-S,,2022-09-21,2023-04-16,"Pizarra ATLANTA, base",Unidad,4.0,1404.3,1095.3,0.0,0.0,5617.2,6796.81,VARIOS,Venta,,,,"Pizarra ATLANTA, base",UDS,VARIOS,10.0
103111,10000,20000.0,2,1900-S,,2022-09-22,2023-04-16,"Silla inv. PARÍS, negra",Unidad,2.0,193.7,151.1,0.0,0.0,387.4,468.75,SILLA,Venta,,,,"Silla inv. PARÍS, negra",UDS,SILLA,0.0
103111,20000,20000.0,2,1964-S,,2022-09-22,2023-04-16,"Silla inv. TOKIO, azul",Unidad,4.0,193.7,151.1,0.0,0.0,774.8,937.51,SILLA,Venta,,,,"Silla inv. TOKIO, azul",UDS,SILLA,4.0
103111,30000,20000.0,2,1980-S,,2022-09-22,2023-04-16,"Silla giratoria MOSCÚ, roja",Unidad,2.0,191.0,148.9,0.0,0.0,382.0,462.22,SILLA,Venta,,,,"Silla giratoria MOSCÚ, roja",UDS,SILLA,0.0
103112,10000,50000.0,2,1906-S,,2022-09-24,2023-04-16,Pedestal móvil ATENAS,Unidad,3.0,435.8,339.9,0.0,0.0,1307.4,1581.95,ESCRITORIO,Venta,,,,Pedestal móvil ATENAS,UDS,ESCRITORIO,5.0
103113,10000,40000.0,2,1908-S,,2022-09-24,2023-04-16,"Silla giratoria LONDRES, azul",stück,4.0,191.0,148.9,0.0,0.0,764.0,764.0,SILLA,Venta,,,,"Silla giratoria LONDRES, azul",UDS,SILLA,3.0
